Suspected,Infected,Recovered,Death
297967800.0,1070638.0,59419.0,-3344206.0
299942346.0,-3505413.0,2336545.0,-1279785.0
301428733.0,2784213.0,319889.0,-209003.0
300408323.0,-259557.0,-386899.0,-1489146.0
297719884.0,420153.0,-3826043.0,539352.0
300718115.0,2471388.0,1284180.0,-1501896.0
297115948.0,-426674.0,263573.0,-746601.0
297917312.0,-839053.0,-1414663.0,1682822.0
299640803.0,-1841928.0,-1739045.0,645985.0
299544411.0,3030938.0,70177.0,1998642.0
298572757.0,3220697.0,3194592.0,722395.0
300269242.0,-341372.0,-2412067.0,946719.0
301035914.0,779814.0,-1563262.0,2626664.0
298137432.0,-927401.0,2519561.0,-1867458.0
302172916.0,1326559.0,-546767.0,-572381.0
299720915.0,4300727.0,1818584.0,-555626.0
299215413.0,-2026545.0,-953398.0,2932020.0
298550221.0,794574.0,-254476.0,1090665.0
303470672.0,-52276.0,528963.0,-1102916.0
301718021.0,1196651.0,679441.0,1277047.0
297587862.0,1544797.0,3382268.0,-225951.0
300989186.0,711722.0,570297.0,-1658634.0
298276337.0,826315.0,-1531724.0,-1900293.0
302163621.0,1922154.0,1558919.0,1294629.0
299205356.0,-128311.0,-651763.0,85135.0
302249073.0,2476803.0,1307498.0,-136081.0
298014347.0,2235056.0,997581.0,-77536.0
301383961.0,2136466.0,1932734.0,-1500604.0
300087919.0,404757.0,-291724.0,1789523.0
300345587.0,-3480921.0,491083.0,-3116205.0
302371371.0,-1104789.0,-568168.0,-1467975.0
300495428.0,3086873.0,105423.0,-1856842.0
303314181.0,302474.0,894741.0,-4710613.0
299740035.0,1199308.0,1527620.0,1042635.0
298653314.0,442420.0,-1461913.0,2252680.0
302590766.0,-120049.0,-1289902.0,-380937.0
300613163.0,-1109215.0,550037.0,-1778438.0
301234022.0,984687.0,-1668653.0,-1575612.0
298934808.0,-3264451.0,-3034097.0,-423023.0
300755005.0,-478660.0,2883710.0,2291532.0
299165821.0,-2067044.0,-343449.0,-1510958.0
299769524.0,584508.0,3891421.0,-1003845.0
296464509.0,2912707.0,-1420207.0,-2568405.0
300362293.0,-534604.0,365953.0,-1885517.0
299174750.0,1689320.0,127612.0,-989996.0
297740642.0,-688827.0,1548691.0,190764.0
297651011.0,187273.0,-5103851.0,-3566603.0
300057696.0,958268.0,515828.0,-1707820.0
295718659.0,8002998.0,5024250.0,-1252220.0
294800305.0,-167278.0,773777.0,705580.0
290634099.0,4781535.0,-1142013.0,-3924708.0
291128214.0,4387351.0,4128081.0,336830.0
288626444.0,6602781.0,809983.0,1553646.0
286603247.0,10723614.0,3286391.0,-1219257.0
279940915.0,12643652.0,1647419.0,2043959.0
272597735.0,15849199.0,5392069.0,1940668.0
264837849.0,23008791.0,6556528.0,418495.0
259462591.0,31021736.0,6880069.0,2931996.0
245963311.0,36152237.0,10152880.0,415292.0
228451573.0,50561406.0,16306516.0,3631387.0
213238093.0,62340635.0,19239759.0,5846442.0
197631827.0,73550618.0,24461672.0,4941489.0
176575080.0,86860584.0,29070883.0,6646541.0
152537904.0,100363378.0,35285151.0,13065625.0
133466748.0,105268250.0,42687485.0,14448761.0
114453671.0,118049134.0,54283469.0,11141110.0
97288413.0,121844429.0,62130101.0,17651712.0
81230282.0,125328254.0,69605289.0,18625043.0
71005517.0,124453289.0,84548184.0,26127127.0
62957850.0,126431572.0,93688345.0,25134271.0
52341130.0,121921459.0,100793156.0,26658900.0
40645134.0,121748644.0,111359252.0,30282217.0
36626297.0,112346149.0,119404808.0,26817549.0
27648347.0,111147951.0,125442783.0,36516724.0
27992447.0,98277707.0,132486299.0,38587790.0
25275219.0,100319531.0,139178807.0,38272257.0
17930646.0,90255095.0,148715717.0,40404762.0
17801646.0,81647960.0,157949756.0,44322090.0
16145619.0,80369304.0,161921984.0,42568169.0
11547442.0,72566078.0,167055960.0,45749906.0
13858257.0,69664307.0,171531224.0,43400628.0
13172095.0,61984524.0,179153196.0,47710161.0
12737932.0,58479536.0,184289876.0,44865400.0
13044816.0,56220122.0,188013061.0,49587066.0
11151321.0,50744755.0,188893271.0,51571764.0
9822490.0,42921977.0,196469465.0,52316466.0
9989575.0,42379263.0,197881687.0,52335321.0
7983262.0,38466771.0,198198829.0,54355239.0
11297916.0,33545552.0,205179564.0,57187073.0
7247349.0,34668564.0,204924110.0,57415832.0
4377784.0,26897442.0,207338499.0,55699376.0
8736050.0,26031759.0,209357012.0,56720757.0
8250922.0,24447154.0,212411006.0,56355334.0
6535792.0,20930809.0,214766978.0,59498043.0
7490483.0,22936877.0,212958435.0,54501871.0
3275898.0,20433060.0,217399187.0,55714030.0
2628653.0,19866313.0,215146923.0,54097470.0
8136706.0,15732952.0,217234602.0,60672489.0
4903895.0,14653656.0,219809869.0,57853670.0
6899129.0,12079819.0,220981058.0,56228489.0
6168484.0,10790162.0,225199737.0,60555631.0
3563734.0,11884948.0,222881547.0,58087263.0
3213663.0,11131028.0,222041262.0,57895791.0
6757470.0,9581577.0,224182934.0,61848555.0
6316189.0,10040413.0,223233807.0,59449246.0
6848323.0,8228544.0,226934265.0,60224118.0
7042512.0,7691196.0,225751032.0,59918087.0
5370255.0,6209125.0,226672311.0,60713760.0
9580994.0,6928207.0,225955758.0,58330950.0
7349371.0,7848718.0,228590182.0,62741560.0
8113022.0,4756838.0,226353675.0,60505614.0
6907213.0,7271287.0,226809532.0,60983297.0
1768258.0,3082424.0,232463198.0,60420500.0
6161559.0,3716084.0,232152364.0,61745419.0
5079344.0,3793705.0,228479868.0,63843663.0
3480861.0,2023622.0,228791613.0,62548028.0
2973734.0,4787242.0,230111802.0,64438582.0
5983001.0,3676777.0,229470798.0,64728085.0
4868401.0,3236856.0,232434137.0,61385644.0
5520549.0,1541318.0,234741893.0,65784026.0
5394725.0,2350858.0,231936716.0,59915143.0
3753640.0,212227.0,230793341.0,59570199.0
4767959.0,-83650.0,230914663.0,64439834.0
4609952.0,1569619.0,233342770.0,61413292.0
