Suspected,Infected,Recovered,Vaccinated,Death
304479755.0,-1410058.0,-514186.0,1466556.0,1236783.0
298168095.0,-852054.0,-946324.0,-692304.0,418771.0
300601219.0,-698763.0,3172082.0,1271266.0,174700.0
299580927.0,2273475.0,72778.0,1971911.0,-384190.0
295031259.0,-1570474.0,487453.0,3075529.0,-2450245.0
297664215.0,-936404.0,-4083312.0,3458990.0,-593076.0
294608630.0,-2783541.0,-2180694.0,-205112.0,140595.0
293426530.0,-721193.0,-659585.0,1433275.0,1767881.0
295969530.0,2793099.0,1142029.0,4509208.0,-555243.0
294449983.0,1602355.0,1840092.0,4235896.0,1297160.0
294267186.0,2928850.0,326869.0,7849814.0,-641802.0
293970689.0,2533976.0,293065.0,2503908.0,3285372.0
292625554.0,204035.0,-1737240.0,4516620.0,1346366.0
291772744.0,205502.0,1787912.0,7458252.0,593365.0
288078357.0,1896093.0,-609097.0,9293304.0,-584320.0
286967618.0,5790096.0,1077003.0,9975030.0,-1454247.0
281051194.0,2681486.0,4002951.0,10654190.0,-2343506.0
281920677.0,1189136.0,3706220.0,10176800.0,-42062.0
287019556.0,7288327.0,1099486.0,6321669.0,-783864.0
282017990.0,6784052.0,6105650.0,11450558.0,2712921.0
279123048.0,6921220.0,4116210.0,9611563.0,2550260.0
279231978.0,6403218.0,3153647.0,8144032.0,1861004.0
275593178.0,9721272.0,6577686.0,12177547.0,-2000350.0
275995946.0,14328387.0,5465404.0,12095412.0,589854.0
267734512.0,13111102.0,4706255.0,7784864.0,252433.0
266813341.0,16453978.0,6423792.0,11824185.0,2245926.0
264696524.0,17785271.0,7545315.0,12795035.0,3027575.0
259866563.0,17940682.0,13277629.0,10101718.0,-583848.0
254911461.0,19860813.0,13621634.0,12449635.0,-1767694.0
249785266.0,19783059.0,16526216.0,13637388.0,96506.0
244095880.0,22610443.0,19757210.0,15208201.0,4583914.0
236438198.0,28789143.0,19801898.0,11107809.0,-1491569.0
233600642.0,28473864.0,24884266.0,14208459.0,2160840.0
225048861.0,33162106.0,25313439.0,14514454.0,983045.0
220390262.0,32332014.0,27998237.0,10864679.0,3594626.0
212647493.0,41227592.0,32280132.0,14468459.0,3528032.0
203657946.0,40913582.0,38082753.0,14411069.0,2229476.0
197545484.0,44768315.0,39679570.0,18748827.0,4030556.0
191483867.0,44646387.0,44359125.0,12984612.0,4860867.0
182359224.0,48580780.0,49626137.0,14173467.0,5165086.0
174482606.0,49663120.0,51233589.0,15031670.0,4130197.0
170676335.0,53248419.0,61500823.0,12366967.0,7867097.0
160649505.0,52583883.0,66990060.0,13396182.0,5263771.0
151134173.0,55152917.0,72456596.0,13225889.0,6191905.0
145078744.0,56784812.0,76180107.0,14655137.0,7469121.0
138511893.0,56182369.0,80906070.0,13384953.0,5821399.0
131920438.0,57405428.0,85362306.0,16737409.0,5555037.0
125117035.0,56560256.0,96015049.0,16550119.0,10285007.0
