Suspected,Infected,Recovered
302872547.0,3021116.0,-753155.0
304231712.0,965529.0,2073028.0
295562370.0,-1523413.0,3511793.0
300761360.0,-3159782.0,2861682.0
300268902.0,2323633.0,163771.0
301007591.0,-1792646.0,-1576339.0
301295581.0,-1408838.0,-2070557.0
303123441.0,-1682466.0,-1192820.0
299363125.0,-613828.0,-6278626.0
299482186.0,-1105963.0,94388.0
303374861.0,847476.0,-1082012.0
298965952.0,2085721.0,-2357774.0
300045825.0,-3332338.0,1659658.0
303729782.0,2802590.0,921224.0
299870790.0,-3038353.0,4451581.0
300217686.0,-318446.0,-640830.0
296709137.0,698698.0,3483874.0
299286033.0,-483041.0,-1032707.0
299968624.0,-1008451.0,2252116.0
302014550.0,-2861722.0,-6156687.0
306300430.0,-3432610.0,-886707.0
301038334.0,-805481.0,407351.0
305022788.0,-841283.0,245356.0
300513371.0,-2337663.0,-5320717.0
302278433.0,-401298.0,3074186.0
296596684.0,1775578.0,1490672.0
299071134.0,2142292.0,372468.0
304409272.0,2054838.0,-2379000.0
300138000.0,1969867.0,-1499396.0
300292686.0,1828405.0,2154033.0
296594770.0,-4724877.0,-1449402.0
301583969.0,-1354366.0,-673734.0
303054066.0,-3163457.0,1261356.0
302104391.0,-2045678.0,1587990.0
301975695.0,1921656.0,2680926.0
300933852.0,3895345.0,1542449.0
300064999.0,1767835.0,-4419647.0
295924854.0,-691784.0,1738089.0
301316298.0,3564285.0,3958854.0
297121078.0,1829421.0,3507589.0
299170239.0,1002889.0,1512680.0
300290877.0,3475737.0,2557820.0
298289235.0,-633772.0,931720.0
299100991.0,2743848.0,-2668654.0
300872776.0,-2509994.0,326762.0
298106510.0,4014287.0,-3447800.0
291789007.0,5216716.0,3183711.0
298045838.0,7000575.0,3203426.0
290015350.0,6994719.0,9532539.0
293651802.0,9472972.0,2656790.0
283342732.0,8700239.0,1842286.0
280640599.0,15552183.0,3877606.0
273358522.0,24608847.0,1885148.0
265075778.0,28542650.0,9312409.0
253012815.0,37864298.0,6236276.0
238704829.0,49733100.0,15336834.0
222003855.0,69623243.0,19670578.0
202201901.0,78151098.0,21546218.0
179551013.0,87835962.0,20624905.0
163189467.0,104689858.0,35337965.0
135532161.0,115148856.0,48552765.0
113973516.0,129464073.0,55711215.0
96744876.0,140275064.0,65725926.0
79407779.0,148976385.0,77950254.0
68915009.0,149944473.0,81281904.0
56285007.0,153195179.0,96850096.0
38083925.0,145177362.0,111053752.0
36092943.0,144429485.0,118191474.0
26474441.0,138778365.0,127373624.0
21867034.0,139393953.0,140815424.0
20584636.0,125369409.0,148832154.0
20888120.0,126363446.0,156519431.0
19684900.0,119499155.0,170465962.0
12699343.0,110472576.0,181819733.0
10056945.0,106259328.0,183271253.0
8442474.0,93813761.0,190875941.0
8653651.0,90886368.0,204730728.0
6298252.0,83298981.0,206144087.0
6962671.0,86877354.0,215622009.0
4912054.0,74980694.0,221331850.0
2208330.0,63865149.0,223653270.0
5786780.0,64295252.0,229421560.0
4157131.0,61047959.0,237300883.0
-852695.0,58651789.0,236846346.0
4237562.0,53745694.0,242254140.0
4635257.0,49598819.0,249351938.0
3283526.0,46984756.0,247889994.0
4720761.0,40770914.0,250393153.0
2544852.0,40566032.0,258653925.0
3460850.0,37887798.0,263996600.0
2632557.0,34853086.0,263507355.0
5638903.0,33703422.0,265125912.0
3156825.0,32529857.0,270005272.0
94389.0,26700984.0,270857404.0
2339809.0,28473189.0,274697383.0
2684914.0,27329706.0,271697025.0
5826169.0,26510219.0,271698697.0
-2491815.0,24519111.0,279135605.0
3232866.0,21353734.0,279763774.0
1202309.0,15342069.0,283725013.0
1002528.0,15619110.0,279077840.0
3298107.0,20404834.0,280672141.0
1890309.0,16851235.0,282887119.0
