Suspected,Infected,Recovered
299999999.0,1.0,0.0
299999998.0,1.0,0.0
299999997.0,1.0,0.0
299999996.0,2.0,0.0
299999995.0,3.0,0.0
299999993.0,5.0,0.0
299999991.0,7.0,1.0
299999988.0,9.0,2.0
299999983.0,13.0,2.0
299999976.0,18.0,4.0
299999967.0,26.0,5.0
299999955.0,36.0,8.0
299999938.0,50.0,11.0
299999914.0,70.0,15.0
299999880.0,97.0,22.0
299999834.0,134.0,30.0
299999770.0,186.0,42.0
299999681.0,258.0,59.0
299999558.0,359.0,82.0
299999387.0,497.0,114.0
299999150.0,690.0,159.0
299998821.0,957.0,220.0
299998366.0,1327.0,306.0
299997734.0,1840.0,424.0
299996858.0,2552.0,588.0
299995644.0,3539.0,816.0
299993960.0,4907.0,1132.0
299991624.0,6804.0,1570.0
299988387.0,9435.0,2177.0
299983897.0,13083.0,3019.0
299977672.0,18141.0,4186.0
299969040.0,25154.0,5804.0
299957073.0,34877.0,8049.0
299940480.0,48358.0,11160.0
299917476.0,67048.0,15475.0
299885585.0,92958.0,21456.0
299841376.0,128874.0,29749.0
299780099.0,178654.0,41246.0
299695178.0,247638.0,57182.0
299577513.0,343214.0,79271.0
299414528.0,475588.0,109882.0
299188857.0,658847.0,152295.0
298876564.0,912396.0,211039.0
298444734.0,1262894.0,292370.0
297848249.0,1746843.0,404906.0
297025541.0,2413964.0,560494.0
295893113.0,3331526.0,775360.0
294338717.0,4589648.0,1071633.0
292213279.0,6307428.0,1479292.0
289322177.0,8639232.0,2038590.0
285417426.0,11779652.0,2802920.0
280193857.0,15964225.0,3841917.0
273294622.0,21461074.0,5244303.0
264333766.0,28546676.0,7119556.0
252944600.0,37458476.0,9596923.0
238859185.0,48320974.0,12819840.0
222012507.0,61053500.0,16933992.0
202644527.0,75286959.0,22068513.0
181353289.0,90334089.0,28312620.0
159052338.0,105254271.0,35693389.0
136821245.0,119016475.0,44162278.0
115695529.0,130708319.0,53596151.0
96479029.0,139707776.0,63813193.0
79645948.0,145755789.0,74598261.0
65346280.0,148924108.0,85729610.0
53481203.0,149518358.0,97000438.0
43800839.0,147966875.0,108232285.0
35989864.0,144729471.0,119280663.0
29726806.0,140238197.0,130034996.0
24717506.0,134867265.0,140415228.0
20709474.0,128923521.0,150367003.0
17494506.0,122648868.0,159856624.0
14905235.0,116228328.0,168866436.0
12809235.0,109799861.0,177390902.0
11102700.0,103463878.0,185433420.0
9704635.0,97291553.0,193003811.0
8551938.0,91331680.0,200116381.0
7595404.0,85616144.0,206788451.0
6796570.0,80164184.0,213039245.0
6125260.0,74985671.0,218889067.0
5557695.0,70083610.0,224358694.0
5075042.0,65456027.0,229468930.0
4662308.0,61097401.0,234240290.0
4307490.0,56999736.0,238692773.0
4000924.0,53153367.0,242845707.0
3734787.0,49547562.0,246717649.0
3502709.0,46170971.0,250326319.0
3299475.0,43011955.0,253688568.0
3120792.0,40058838.0,256820368.0
2963109.0,37300076.0,259736814.0
2823470.0,34724391.0,262452138.0
2699405.0,32320858.0,264979736.0
2588840.0,30078965.0,267332193.0
2490023.0,27988654.0,269521322.0
2401470.0,26040339.0,271558190.0
2321916.0,24224920.0,273453162.0
2250280.0,22533783.0,275215936.0
2185633.0,20958791.0,276855575.0
2127175.0,19492274.0,278380549.0
2074213.0,18127019.0,279798766.0
2026147.0,16856247.0,281117604.0
1982452.0,15673597.0,282343950.0
1942669.0,14573108.0,283484221.0
1906397.0,13549197.0,284544404.0
1873282.0,12596641.0,285530075.0
1843012.0,11710556.0,286446431.0
1815311.0,10886377.0,287298310.0
1789933.0,10119844.0,288090221.0
1766661.0,9406977.0,288826360.0
1745300.0,8744065.0,289510633.0
1725676.0,8127645.0,290146677.0
1707634.0,7554490.0,290737874.0
1691034.0,7021590.0,291287375.0
1675749.0,6526142.0,291798108.0
1661667.0,6065533.0,292272798.0
1648685.0,5637332.0,292713981.0
