Suspected,Infected,Recovered,Death
299999999.0,1.0,0.0,0.0
299999998.0,1.0,0.0,0.0
299999997.0,1.0,0.0,0.0
299999997.0,2.0,0.0,0.0
299999995.0,3.0,0.0,0.0
299999994.0,4.0,0.0,0.0
299999992.0,6.0,1.0,0.0
299999989.0,8.0,1.0,0.0
299999985.0,11.0,2.0,0.0
299999979.0,15.0,3.0,0.0
299999972.0,21.0,5.0,1.0
299999962.0,29.0,6.0,1.0
299999948.0,39.0,9.0,2.0
299999929.0,53.0,13.0,3.0
299999904.0,73.0,17.0,4.0
299999869.0,99.0,24.0,6.0
299999822.0,135.0,33.0,8.0
299999759.0,183.0,44.0,11.0
299999672.0,250.0,61.0,16.0
299999554.0,339.0,83.0,22.0
299999394.0,461.0,113.0,30.0
299999177.0,627.0,154.0,41.0
299998881.0,852.0,209.0,55.0
299998480.0,1158.0,284.0,75.0
299997934.0,1575.0,387.0,103.0
299997193.0,2140.0,526.0,140.0
299996185.0,2908.0,715.0,190.0
299994815.0,3953.0,971.0,259.0
299992954.0,5372.0,1320.0,352.0
299990424.0,7301.0,1795.0,478.0
299986987.0,9922.0,2439.0,650.0
299982316.0,13484.0,3315.0,884.0
299975968.0,18324.0,4505.0,1201.0
299967341.0,24901.0,6123.0,1632.0
299955618.0,33840.0,8321.0,2219.0
299939689.0,45985.0,11309.0,3015.0
299918044.0,62488.0,15368.0,4098.0
299888633.0,84911.0,20884.0,5569.0
299848676.0,115375.0,28380.0,7568.0
299794393.0,156758.0,38564.0,10283.0
299720658.0,212967.0,52400.0,13973.0
299620520.0,289296.0,71197.0,18985.0
299484555.0,392921.0,96728.0,25794.0
299300006.0,533550.0,131401.0,35040.0
299049625.0,724302.0,178477.0,47594.0
298710131.0,982864.0,242371.0,64632.0
298250182.0,1333019.0,329051.0,87746.0
297627728.0,1806617.0,446568.0,119084.0
296786609.0,2446093.0,605760.0,161536.0
295652297.0,3307568.0,821158.0,218975.0
294126739.0,4464526.0,1112158.0,296575.0
292082455.0,6011868.0,1504480.0,401194.0
289356403.0,8069810.0,2031936.0,541849.0
285744745.0,10786551.0,2738450.0,730253.0
281000662.0,14337774.0,3680181.0,981381.0
274838695.0,18919939.0,4927393.0,1313971.0
266950482.0,24733268.0,6565459.0,1750789.0
257037355.0,31950170.0,8694058.0,2318415.0
244863414.0,40666999.0,11423357.0,3046228.0
230326417.0,50843278.0,14866029.0,3964274.0
213532475.0,62242984.0,19124636.0,5099903.0
194847888.0,74403227.0,24275434.0,6473449.0
174896814.0,86657661.0,30351730.0,8093794.0
154487150.0,98226251.0,37331524.0,9955073.0
134478108.0,108352242.0,45133933.0,12035715.0
115633540.0,116439815.0,53626297.0,14300345.0
98512196.0,122143653.0,62640117.0,16704031.0
83424416.0,125386880.0,71991081.0,19197621.0
70451867.0,126317375.0,81497966.0,21732791.0
59505027.0,125232302.0,90996844.0,24265825.0
50390051.0,122500752.0,100349365.0,26759830.0
42866060.0,118502666.0,109445741.0,29185531.0
36685395.0,113589590.0,118203958.0,31521055.0
31617367.0,108064727.0,126566766.0,33751137.0
27459480.0,102176714.0,134497740.0,35866064.0
24040583.0,96121635.0,141977195.0,37860585.0
21219513.0,90049124.0,148998443.0,39732918.0
18881643.0,84069908.0,155564564.0,41483883.0
16934769.0,78263263.0,161685763.0,43116203.0
15305112.0,72683705.0,167377248.0,44633932.0
13933753.0,67366633.0,172657589.0,46042023.0
12773635.0,62332925.0,177547452.0,47345987.0
11787109.0,57592604.0,182068647.0,48551639.0
10943966.0,53147696.0,186243424.0,49664913.0
10219875.0,48994448.0,190093955.0,50691721.0
9595158.0,45125017.0,193641966.0,51637857.0
9053824.0,41528768.0,196908479.0,52508927.0
8582817.0,38193239.0,199913638.0,53310303.0
8171421.0,35104878.0,202676605.0,54047094.0
7810797.0,32249577.0,205215493.0,54724131.0
7493619.0,29613076.0,207547344.0,55345958.0
7213783.0,27181252.0,209688129.0,55916834.0
6966178.0,24940320.0,211652764.0,56440737.0
6746503.0,22876981.0,213455142.0,56921371.0
6551127.0,20978513.0,215108177.0,57362180.0
6376962.0,19232832.0,216623845.0,57766358.0
6221379.0,17628520.0,218013236.0,58136863.0
6082124.0,16154842.0,219286605.0,58476428.0
5957259.0,14801740.0,220453420.0,58787578.0
5845114.0,13559818.0,221522421.0,59072645.0
5744239.0,12420326.0,222501658.0,59333775.0
5653375.0,11375130.0,223398547.0,59572946.0
5571424.0,10416683.0,224219914.0,59791977.0
5497424.0,9537997.0,224972035.0,59992542.0
5430532.0,8732607.0,225660679.0,60176181.0
5370004.0,7994542.0,226291146.0,60344305.0
5315187.0,7318291.0,226868306.0,60498215.0
5265498.0,6698775.0,227396625.0,60639100.0
5220425.0,6131313.0,227880205.0,60768054.0
5179509.0,5611599.0,228322808.0,60886082.0
