Suspected,Infected,Recovered,Vaccinated,Death
299999999.0,1.0,0.0,0.0,0.0
299396633.0,6318.0,209.0,596816.0,20.0
298791219.0,26331.0,1729.0,1180545.0,172.0
298180135.0,61797.0,6024.0,1751439.0,602.0
297559325.0,114716.0,14745.0,2309738.0,1474.0
296924232.0,187360.0,29760.0,2855670.0,2976.0
296269744.0,282310.0,53180.0,3389446.0,5318.0
295590113.0,402488.0,87392.0,3911266.0,8739.0
294878884.0,551198.0,135096.0,4421310.0,13509.0
294128810.0,732164.0,199346.0,4919743.0,19934.0
293331760.0,949575.0,283592.0,5406711.0,28359.0
292478630.0,1208124.0,391731.0,5882340.0,39173.0
291559239.0,1513049.0,528160.0,6346735.0,52816.0
290562237.0,1870174.0,697829.0,6799974.0,69782.0
289475009.0,2285934.0,906309.0,7242115.0,90630.0
288283586.0,2767398.0,1159846.0,7673184.0,115984.0
286972571.0,3322275.0,1465430.0,8093179.0,146543.0
285525089.0,3958897.0,1830859.0,8502066.0,183085.0
283922765.0,4686177.0,2264799.0,8899777.0,226479.0
282145749.0,5513524.0,2776836.0,9286206.0,277683.0
280172799.0,6450715.0,3377523.0,9661209.0,337752.0
277981437.0,7507710.0,4078410.0,10024600.0,407841.0
275548199.0,8694398.0,4892043.0,10376153.0,489204.0
272848997.0,10020258.0,5831950.0,10715599.0,583195.0
269859608.0,11493940.0,6912570.0,11042623.0,691257.0
266556308.0,13122750.0,8149152.0,11356872.0,814915.0
262916649.0,14912051.0,9557587.0,11657953.0,955758.0
258920388.0,16864576.0,11154178.0,11945437.0,1115417.0
254550549.0,18979705.0,12955343.0,12218867.0,1295534.0
249794568.0,21252707.0,14977233.0,12477766.0,1497723.0
244645496.0,23674036.0,17235291.0,12721645.0,1723529.0
239103153.0,26228721.0,19743730.0,12950021.0,1974373.0
233175165.0,28895948.0,22514963.0,13162425.0,2251496.0
226877761.0,31648900.0,25559013.0,13358422.0,2555901.0
220236236.0,34454939.0,28882907.0,13537626.0,2888290.0
213284974.0,37276174.0,32490119.0,13699719.0,3249011.0
206066983.0,40070451.0,36380088.0,13844468.0,3638008.0
198632899.0,42792724.0,40547855.0,13971735.0,4054785.0
191039503.0,45396760.0,44983855.0,14081495.0,4498385.0
183347832.0,47837043.0,49673894.0,14173839.0,4967389.0
175621020.0,50070748.0,54599318.0,14248981.0,5459931.0
167922018.0,52059604.0,59737381.0,14307257.0,5973738.0
160311398.0,53771517.0,65061785.0,14349119.0,6506178.0
152845376.0,55181788.0,70543369.0,14375128.0,7054336.0
145574201.0,56273876.0,76150893.0,14385938.0,7615089.0
138540989.0,57039660.0,81851878.0,14382283.0,8185187.0
131781032.0,57479215.0,87613443.0,14364964.0,8761344.0
125321577.0,57600186.0,93403102.0,14334824.0,9340310.0
119182001.0,57416833.0,99189479.0,14292738.0,9918947.0
113374321.0,56948873.0,104942919.0,14239593.0,10494291.0
107903935.0,56220219.0,110635969.0,14176278.0,11063596.0
102770507.0,55257708.0,116243741.0,14103668.0,11624374.0
97968915.0,54089913.0,121744142.0,14022613.0,12174414.0
93490202.0,52746067.0,127117995.0,13933935.0,12711799.0
89322461.0,51255160.0,132349055.0,13838417.0,13234905.0
85451646.0,49645205.0,137423951.0,13736800.0,13742395.0
81862278.0,47942674.0,142332058.0,13629783.0,14233205.0
78538032.0,46172104.0,147065314.0,13518016.0,14706531.0
75462231.0,44355837.0,151618021.0,13402107.0,15161802.0
72618223.0,42513892.0,155986607.0,13282614.0,15598660.0
69989680.0,40663923.0,160169399.0,13160056.0,16016939.0
67560814.0,38821261.0,164166380.0,13034906.0,16416638.0
65316530.0,36999014.0,167978960.0,12907598.0,16797896.0
63242524.0,35208203.0,171609766.0,12778528.0,17160976.0
61325346.0,33457921.0,175062431.0,12648057.0,17506243.0
59552416.0,31755512.0,178341414.0,12516513.0,17834141.0
57912035.0,30106753.0,181451834.0,12384192.0,18145183.0
56393357.0,28516029.0,184399318.0,12251363.0,18439931.0
54986366.0,26986507.0,187189870.0,12118268.0,18718987.0
53681835.0,25520300.0,189829762.0,11985125.0,18982976.0
52471279.0,24118617.0,192325428.0,11852131.0,19232542.0
51346913.0,22781898.0,194683386.0,11719462.0,19468338.0
50301597.0,21509943.0,196910166.0,11587276.0,19691016.0
49328795.0,20302017.0,199012246.0,11455714.0,19901224.0
48422526.0,19156956.0,200996013.0,11324903.0,20099601.0
47577317.0,18073243.0,202867714.0,11194953.0,20286771.0
46788165.0,17049092.0,204633432.0,11065965.0,20463343.0
46050498.0,16082509.0,206299059.0,10938026.0,20629905.0
45360133.0,15171345.0,207870278.0,10811214.0,20787027.0
44713248.0,14313349.0,209352549.0,10685597.0,20935254.0
44106348.0,13506202.0,210751105.0,10561233.0,21075110.0
43536235.0,12747554.0,212070940.0,10438175.0,21207094.0
42999987.0,12035049.0,213316815.0,10316466.0,21331681.0
42494926.0,11366351.0,214493252.0,10196145.0,21449325.0
42018602.0,10739158.0,215604541.0,10077243.0,21560454.0
41568774.0,10151220.0,216654743.0,9959787.0,21665474.0
41143385.0,9600349.0,217647696.0,9843799.0,21764769.0
40740552.0,9084428.0,218587020.0,9729296.0,21858702.0
40358549.0,8601417.0,219476127.0,9616293.0,21947612.0
39995792.0,8149357.0,220318227.0,9504799.0,22031822.0
39650827.0,7726376.0,221116340.0,9394820.0,22111634.0
39322321.0,7330687.0,221873298.0,9286362.0,22187329.0
39009049.0,6960587.0,222591761.0,9179424.0,22259176.0
38709885.0,6614464.0,223274220.0,9074007.0,22327422.0
38423795.0,6290787.0,223923009.0,8970106.0,22392300.0
38149827.0,5988110.0,224540313.0,8867717.0,22454031.0
37887108.0,5705067.0,225128172.0,8766833.0,22512817.0
37634833.0,5440372.0,225688499.0,8667445.0,22568849.0
37392260.0,5192812.0,226223075.0,8569543.0,22622307.0
37158708.0,4961250.0,226733566.0,8473118.0,22673356.0
36933548.0,4744614.0,227221528.0,8378156.0,22722152.0
36716202.0,4541902.0,227688409.0,8284644.0,22768840.0
36506136.0,4352173.0,228135564.0,8192569.0,22813556.0
36302857.0,4174547.0,228564252.0,8101917.0,22856425.0
36105913.0,4008200.0,228975650.0,8012671.0,22897565.0
35914884.0,3852361.0,229370852.0,7924816.0,22937085.0
35729383.0,3706312.0,229750878.0,7838336.0,22975087.0
35549055.0,3569381.0,230116680.0,7753214.0,23011668.0
35373569.0,3440940.0,230469142.0,7669433.0,23046914.0
35202620.0,3320406.0,230809088.0,7586975.0,23080908.0
35035928.0,3207232.0,231137286.0,7505824.0,23113728.0
34873231.0,3100911.0,231454451.0,7425960.0,23145445.0
34714289.0,3000971.0,231761247.0,7347367.0,23176124.0
34558878.0,2906971.0,232058294.0,7270026.0,23205829.0
34406794.0,2818501.0,232346168.0,7193918.0,23234616.0
34257844.0,2735180.0,232625406.0,7119027.0,23262540.0
34111852.0,2656653.0,232896508.0,7045334.0,23289650.0
33968653.0,2582591.0,233159940.0,6972820.0,23315994.0
33828095.0,2512687.0,233416135.0,6901467.0,23341613.0
33690038.0,2446657.0,233665496.0,6831258.0,23366549.0
33554349.0,2384234.0,233908399.0,6762175.0,23390839.0
33420908.0,2325175.0,234145196.0,6694200.0,23414519.0
33289601.0,2269250.0,234376212.0,6627314.0,23437621.0
33160323.0,2216246.0,234601752.0,6561501.0,23460175.0
33032976.0,2165968.0,234822100.0,6496744.0,23482210.0
32907469.0,2118232.0,235037521.0,6433024.0,23503752.0
32783718.0,2072868.0,235248261.0,6370325.0,23524826.0
32661644.0,2029718.0,235454551.0,6308629.0,23545455.0
32541172.0,1988637.0,235656607.0,6247921.0,23565660.0
32422235.0,1949487.0,235854629.0,6188183.0,23585462.0
32304767.0,1912144.0,236048806.0,6129400.0,23604880.0
32188710.0,1876489.0,236239313.0,6071555.0,23623931.0
32074006.0,1842415.0,236426314.0,6014632.0,23642631.0
31960604.0,1809820.0,236609963.0,5958615.0,23660996.0
31848454.0,1778610.0,236790404.0,5903489.0,23679040.0
